Partition Size, Num Processes, Integral Value, Time (s)
100000000, 1, 3.1415926535904264, 17.9064
100000000, 2, 3.1415926535900223, 11.4357
100000000, 3, 3.1415926535901537, 8.3646
100000000, 4, 3.1415926535902168, 6.8822
100000000, 5, 3.1415926535896439, 5.9712
100000000, 6, 3.1415926535896723, 5.3160
100000000, 7, 3.1415926535896643, 4.8228
100000000, 8, 3.1415926535896137, 4.7770
100000000, 9, 3.1415926535897531, 4.3460
100000000, 10, 3.1415926535897452, 4.0747
100000000, 11, 3.1415926535897376, 3.9475
100000000, 12, 3.1415926535897389, 3.7190
100000000, 13, 3.1415926535897492, 9.6303
100000000, 14, 3.1415926535897487, 3.6342
100000000, 15, 3.1415926535897460, 3.4024
100000000, 16, 3.1415926535897749, 3.3955
100000000, 17, 3.1415926535897309, 3.2979
100000000, 18, 3.1415926535897443, 3.1828
100000000, 19, 3.1415926535897452, 3.3459
100000000, 20, 3.1415926535897505, 3.2247
100000000, 21, 3.1415926535897531, 3.3235
100000000, 22, 3.1415926535897594, 3.2479
100000000, 23, 3.1415926535897594, 3.0069
100000000, 24, 3.1415926535897540, 3.1504
100000000, 25, 3.1415926535897514, 3.0496
100000000, 26, 3.1415926535897531, 2.9739
100000000, 27, 3.1415926535897505, 3.5518
100000000, 28, 3.1415926535897492, 3.0093
100000000, 29, 3.1415926535897540, 2.9822
100000000, 30, 3.1415926535897603, 3.5126
100000000, 31, 3.1415926535897682, 2.9460
100000000, 32, 3.1415926535897736, 2.9124
