, 2, 4, 6, 8, 10, 12, 14,
100000000, 0.5123,0.2524,0.1840,0.1472,0.1272,0.1092,0.1476,
200000000, 0.9209,0.4761,0.3858,0.2845,0.2139,0.1796,0.2425,
300000000, 1.2879,0.6954,0.4719,0.4490,0.3689,0.3150,0.3574,
400000000, 1.5655,0.8676,0.6225,0.4808,0.3844,0.4213,0.4570,
500000000, 1.8742,1.0468,0.7686,0.5811,0.4715,0.4158,0.5275,
600000000, 2.0307,1.2343,1.0406,0.6998,0.5643,0.4723,0.5955,
700000000, 2.6221,1.5034,0.9909,0.7945,0.6512,0.5849,0.6580,
800000000, 2.7399,1.5133,1.1116,0.8681,0.7439,0.8643,0.7697,
900000000, 3.5652,1.7773,1.3146,0.9701,0.8148,0.8173,0.8176,
1000000000, 4.0779,1.9043,1.3490,1.0554,0.9491,0.8552,0.8987,

