, 2, 4, 6, 8, 10, 12, 14
100000000, 0.5850,0.2527,0.1795,0.1507,0.1245,0.1123,0.1445,
200000000, 0.9142,0.4761,0.3294,0.2527,0.2085,0.1799,0.2549,
300000000, 1.2561,0.6910,0.4844,0.3625,0.2995,0.2608,0.3603,
400000000, 1.5598,0.8674,0.6225,0.4763,0.3843,0.3483,0.4467,
500000000, 1.8768,1.0438,0.7558,0.5862,0.4721,0.4026,0.5299,
600000000, 2.2020,1.1844,0.8776,0.6909,0.5643,0.5001,0.6062,
700000000, 2.3411,1.4604,0.9835,0.7745,0.6474,0.5701,0.7035,
800000000, 2.8232,1.5348,1.1060,0.8763,0.7504,0.6217,0.7799,
900000000, 3.3692,1.6783,1.2356,0.9718,0.8926,0.8202,0.8394,
1000000000, 3.7286,1.8546,1.3571,1.1718,1.0499,0.9286,0.9005,
